[INFO ] 2017-11-25 10:54:58.013 [http-nio-8080-exec-10] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.034 [http-nio-8080-exec-7] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.053 [http-nio-8080-exec-8] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.074 [http-nio-8080-exec-2] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.093 [http-nio-8080-exec-4] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.116 [http-nio-8080-exec-9] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.157 [http-nio-8080-exec-9] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.179 [http-nio-8080-exec-6] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.218 [http-nio-8080-exec-3] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.237 [http-nio-8080-exec-5] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.255 [http-nio-8080-exec-1] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.274 [http-nio-8080-exec-10] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.292 [http-nio-8080-exec-7] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.313 [http-nio-8080-exec-8] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.330 [http-nio-8080-exec-2] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.347 [http-nio-8080-exec-4] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.366 [http-nio-8080-exec-9] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.385 [http-nio-8080-exec-6] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.405 [http-nio-8080-exec-3] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.424 [http-nio-8080-exec-5] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.441 [http-nio-8080-exec-1] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.459 [http-nio-8080-exec-10] CommandeRestService - getAllLigneDeCommande message
[INFO ] 2017-11-25 10:54:58.477 [http-nio-8080-exec-7] CommandeRestService - getAllLigneDeCommande message
